##OS
1:OS=Android|:0.463998225882426:0.463998225882426:1
1:OS=iOS|:0.535999851737039:0.535999851737039:1
1:OS=Other|:0.00000192238053572676:0.00000192238053572676:1
##DeviceType
1:DeviceType=Other|:0.00000942068445558408:0.00000942068445558408:1
1:DeviceType=Pad|:0.195375335264185:0.195375335264185:1
1:DeviceType=Phone|:0.804615244051359:0.804615244051359:1
##CarrierName
1:CarrierName=3|:0.00297818048120254:0.00297818048120254:1
1:CarrierName=Airtel|:1.32577967981156E-7:1.32577967981156E-7:1
1:CarrierName=AIS|:0.0000288153114254428:0.0000288153114254428:1
1:CarrierName=BSNL|:2.54957630732993E-9:2.54957630732993E-9:1
1:CarrierName=Celcom|:0.00176688187674271:0.00176688187674271:1
1:CarrierName=China Mobile|:0.144731193988613:0.144731193988613:1
1:CarrierName=China Telecom|:0.263948522912145:0.263948522912145:1
1:CarrierName=DiGi|:0.00138081228440528:0.00138081228440528:1
1:CarrierName=dtac|:0.000110919317250388:0.000110919317250388:1
1:CarrierName=Far EasTone|:3.36544072567550E-7:3.36544072567550E-7:1
1:CarrierName=Globe|:0.00000204476019847860:0.00000204476019847860:1
1:CarrierName=IDEA|:8.66855944492175E-8:8.66855944492175E-8:1
1:CarrierName=Indosat|:0.0230333695277985:0.0230333695277985:1
1:CarrierName=KDDI/au|:0.0227524317144938:0.0227524317144938:1
1:CarrierName=KT|:0.00448870246024323:0.00448870246024323:1
1:CarrierName=LG Telecom|:0.00269179932248171:0.00269179932248171:1
1:CarrierName=Long Distance & Mobile Business Group|:0.00000113966060937648:0.00000113966060937648:1
1:CarrierName=M1|:0.000574146737376548:0.000574146737376548:1
1:CarrierName=Maxis|:0.00186811025444894:0.00186811025444894:1
1:CarrierName=MobiFone|:0.000202245140578946:0.000202245140578946:1
1:CarrierName=MTNL|:1.01983052293197E-8:1.01983052293197E-8:1
1:CarrierName=NTT DoCoMo|:0.0245002937519838:0.0245002937519838:1
1:CarrierName=Optus Mobile|:1.50425002132466E-7:1.50425002132466E-7:1
1:CarrierName=Other|:0.290664324537485:0.290664324537485:1
1:CarrierName=PCCW Mobile|:1.78470341513095E-8:1.78470341513095E-8:1
1:CarrierName=Reliance|:0.000161497812035199:0.000161497812035199:1
1:CarrierName=SingTel|:0.00103454667737788:0.00103454667737788:1
1:CarrierName=SK Telecom|:0.00665397093246409:0.00665397093246409:1
1:CarrierName=Smart|:0.000291220254552146:0.000291220254552146:1
1:CarrierName=SmarTone|:1.14730933829847E-7:1.14730933829847E-7:1
1:CarrierName=SoftBank|:0.0165354607106824:0.0165354607106824:1
1:CarrierName=StarHub|:0.000712677966035320:0.000712677966035320:1
1:CarrierName=Taiwan Mobile|:7.64872892198978E-7:7.64872892198978E-7:1
1:CarrierName=TATA DOCOMO|:5.09915261465985E-9:5.09915261465985E-9:1
1:CarrierName=Telkomsel|:0.00284174755384471:0.00284174755384471:1
1:CarrierName=Telstra|:2.03966104586394E-8:2.03966104586394E-8:1
1:CarrierName=True Move|:0.00181195583628000:0.00181195583628000:1
1:CarrierName=UNICOM|:0.178977100399092:0.178977100399092:1
1:CarrierName=Vietel|:0.00217022739813861:0.00217022739813861:1
1:CarrierName=Vinaphone|:0.00118899236134700:0.00118899236134700:1
1:CarrierName=Vodafone|:5.09915261465985E-9:5.09915261465985E-9:1
1:CarrierName=XL|:0.00189502103237281:0.00189502103237281:1
##City
1:City=七台河市|:0.000126206576789139:0.000126206576789139:1
1:City=三亚市|:0.000619710215564841:0.000619710215564841:1
1:City=三明市|:0.000606245903085832:0.000606245903085832:1
1:City=三门峡市|:0.000453541579734613:0.000453541579734613:1
1:City=上海市|:0.0465486574196322:0.0465486574196322:1
1:City=上饶市|:0.00136613182402767:0.00136613182402767:1
1:City=东莞市|:0.00782857093555622:0.00782857093555622:1
